"Occurrences","Lexeme","Part of speech","Gloss"
3,"aemulator","noun","efterligner"
13,"aemulor","verb","rivel"
2,"Aeneas","proper_noun","Æneas"
1,"Aenon","proper_noun","Ænon"
5,"aequalis","adjective","lige"
2,"aequalitas","noun","lighed"
2,"aequitas","noun","lighed"
1,"aequus","adjective","lige"
7,"aer","noun","luft"
2,"aeramentum","noun","kobbertøj"
1,"aerarius","noun","smed"
1,"aereus","adjective","kraftig"
2,"aerumna","noun","nød"
5,"aes","noun","kobber"
3,"aestas","noun","sommer"
14,"aestimo","verb","vurderer"
2,"aestuo","verb","flammer"
5,"aestus","noun","brand"
3,"aetas","noun","alder"
69,"aeternus","adjective","evig"
1,"aethiops","adjective","ethiopisk"
1,"Aethiopus","proper_noun","etiopier"
2,"affectio","noun","påvirkning"
34,"affero","verb","bringer til"
10,"afficio","verb","påvirker"
2,"affigo","verb","fæster"
4,"affirmo","verb","bestyrker"
1,"afflictio","noun","bedrøvelse"
4,"affligo","verb","slår til"
1,"africus","adjective","afrikansk"
2,"Agabus","proper_noun","Agabus"
1,"Agar","proper_noun","Agar"
35,"ager","noun","mark"
1,"agito","verb","jager"
4,"agnitio","noun","erkendelse"
1,"agnos","noun","lam"
5,"agnosco","verb","erkender"
34,"agnus","noun","lam"
103,"ago","verb","fører"
1,"agon","noun","væddekamp "
1,"agonia","noun","offerdyr"
10,"agricola","noun","landmand"
1,"agricultura","noun","agerdyrkning"
11,"Agrippa","proper_noun","Agrippa"
284,"aio","verb","siger"
4,"ala","noun","vinge"
4,"alabaster","noun","alabast"
3,"alapa","noun","ørefigen"
1,"alba","noun","hvid"
18,"albus","adjective","hvid"
5,"Alexander","proper_noun","Alexander"
4,"Alexandrinus","adjective","Alexandrinus"
1,"alias","adverb","til en anden tid"
2,"alienigena","noun","udlænding"
3,"alieno","verb","fjerner fra"
2,"alienum","noun","fremmed grund"
8,"alienus","adjective","fremmed"
1,"alimentum","noun","næring"
15,"alioqui(n)","adverb","ellers"
18,"aliquando","adverb","engang"
3,"aliquantus","adjective","temmelig stor"
83,"aliquis","indefinite_pronoun","en eller anden; nogen"
7,"aliquot","indefinite_pronoun","nogle; adskillige"
1,"aliter","adverb","anderledes"
1,"aliunde","adverb","andetstedsfra"
237,"alius","indefinite_pronoun","anden"
1,"allegoria","noun","allegori"
4,"alleluia","interjection","hallelujah"
1,"allevio","verb","oplyser"
1,"allevo","verb","løfter i vejret"
1,"allido","verb","støder"
23,"alligo","verb","binder til"
3,"alloquor","verb","tiltalder"
2,"alo","verb","nærer"
1,"aloe","noun","aloe"
3,"alpha","noun","alfa"
5,"Alpheus","proper_noun","Alfæus"
17,"altare","noun","alter"
3,"altarium","noun","alter"
54,"alter","adjective","anden"
1,"altercor","verb","disputerer"
1,"alteruter","indefinite_pronoun","hvilken som helst af to"
6,"alteruter","reciprocal_pronoun","hvilken som helst af to"
1,"altilis","adjective","fedet"
7,"altitudo","noun","højde"
19,"altus","adjective","høj"
1,"amabilis","adjective","elskelig"
2,"amare","adverb","bittert"
2,"amarico","verb","gør bitter"
3,"amaritudo","noun","bitterhed"
1,"amarus","adjective","bitter"
1,"ambigo","verb","disputerer"
1,"ambitio","noun","ærgerrighed"
1,"ambitiosus","adjective","pralende"
9,"ambo","adjective","begge"
87,"ambulo","verb","går omkring"
130,"amen","interjection","amen"
1,"amethistus","noun","ametyst"
1,"amica","noun","venidne"
7,"amicio","verb","beklæder mig"
29,"amicus","noun","ven"
3,"Aminadab","proper_noun","Amminadab"
2,"amissio","noun","tab"
20,"amo","verb","elsker"
6,"amodo","adverb","fra nu af"
1,"amomum","noun","krydderplante"
2,"Amon","proper_noun","Amon"
1,"Amos","proper_noun","Amos"
3,"amoveo","verb","skaffer"
1,"Amphipolis","proper_noun","Amfipolis"
1,"amphora","noun","krukke"
34,"ample","adverb","bredt"
1,"amplector","verb","omfavner"
1,"Ampliatus","proper_noun","Ampliatus"
1,"amplius","adverb","mere"
5,"amplus","adjective","vid"
5,"amputo","verb","afskærer"
33,"an","conjunction","om"
23,"an","interrogative_adverb","om"
2,"an","subjunction","om"
11,"Ananias","proper_noun","Ananias"
5,"anathema","noun","samvittighed "
1,"anathematizo","verb","bander"
14,"ancilla","noun","slavinde"
2,"ancora","noun","anker"
13,"Andreas","proper_noun","Andreas"
1,"Andronicus","proper_noun","Andronikos"
1,"anethum","noun","dild"
3,"angario","verb","tvinger"
154,"angelus","noun","engel"
1,"angularis","adjective","engelsk"
7,"angulus","noun","engel"
5,"angustia","noun","angst"
3,"angustio","verb","stænger inde"
3,"angustus","adjective","snæver"
83,"anima","noun","sjæl"
2,"animaequus","adjective","frimodig"
21,"animal","noun","dyr"
4,"animalis","adjective","levende; besjælet"
1,"animositas","noun","vrede"
9,"animus","noun","sjæl"
1,"Anna","proper_noun","Anna"
4,"Annas","proper_noun","Annas"
55,"annus","noun","år"
7,"ante","adverb","tidligere"
111,"ante","preposition","foran"
1,"antea","adverb","tidligere"
2,"antecedo","verb","går foran"
1,"antecessor","noun","forgænger"
6,"antequam","subjunction","førend"
17,"Antiochea","proper_noun","Antiokia"
1,"Antiochenus","adjective","fra Antiokia"
1,"Antipas","proper_noun","Antipas"
1,"Antipatris","proper_noun","Antipatris"
9,"antiquus","adjective","gammel"
1,"anulus","noun","ring"
1,"Apelles","proper_noun","Apelles"
81,"aperio","verb","åbner"
1,"apertio","noun","åbning"
2,"apertus","adjective","åben"
2,"apex","noun","spids"
2,"apocalypsis","noun","åbenbaring"
10,"Apollo","proper_noun","Apollo"
1,"Apollonia","proper_noun","Apollonia"
1,"Apollyon","proper_noun","Apollyon"
1,"aporior","verb","går bort"
3,"apostolatus","noun","apostelgerning"
69,"apostolus","noun","apostel"
29,"appareo","verb","kommer til syne"
10,"appello","verb","tiltaler"
1,"Appia","proper_noun","Appia"
1,"Appius","proper_noun","Appius"
2,"applico","verb","føjer til"
13,"appono","verb","sætter til"
36,"appr(eh)endo","verb","griber"
2,"appretio","verb","vurderer"
1,"approbo","verb","bifalder"
30,"appropinquo","verb","nærmer mig"
4,"appropio","verb","nærmer mig"
1,"apto","verb","passer til"
2,"aptus","adjective","passende"
92,"apud","preposition","hos"
66,"aqua","noun","vand"
5,"aquila","noun","ørn"
6,"Aquila","proper_noun","Akvila"
2,"aquilo","noun","nordenvinden"
1,"ara","noun","alter"
2,"Arabia","proper_noun","Arabien"
1,"Arabs","noun","araber"
3,"Aram","proper_noun","Aram"
1,"aratrum","noun","plov"
13,"arbitror","verb","skønner"
31,"arbor","noun","træ"
3,"arca","noun","kasse"
1,"arcanus","adjective","hemmelig"
1,"arcarius","adjective","pengekasse-"
10,"arcesso","verb","tilkalder"
2,"archangelus","noun","ærkeengel"
1,"Archelaus","proper_noun","Arkelaos"
1,"Archippus","proper_noun","Arkippos"
6,"archisynagogus","noun","synagogeforstander"
1,"architectus","noun","bygmester"
3,"architriclinus","noun","skaffer"
1,"arcus","noun","bue"
12,"ardeo","verb","brænder"
2,"area","noun","grund"
1,"arefacio","verb","tørrer"
4,"(h)arena","noun","sand"
5,"areo","verb","er tør"
3,"aresco","verb","bliver tør"
1,"Aretas","proper_noun","Aretas"
1,"Arfaxat","proper_noun","Arpakshad"
1,"argentarius","noun","vekselerer; bankmand"
7,"argenteus","adjective","af sølv"
7,"argentum","noun","sølv"
1,"argumentum","noun","tegn"
9,"arguo","verb","viser"
10,"aridus","adjective","tør"
4,"Arimathia","proper_noun","Arimatæa"
1,"Ariopagita","proper_noun","Areopagosforsamlingen"
2,"Ariopagus","proper_noun","Areopagos"
4,"Aristarchus","proper_noun","Aristark"
1,"Aristobolus","proper_noun","Aristobul"
8,"arma","noun","våben"
1,"armamenta","noun","takkelage"
1,"armatura","noun","bevæbning"
1,"armo","verb","udruster"
3,"aro","verb","pløjer"
4,"aroma","noun","salve"
2,"arripio","verb","tager"
4,"ars","noun","kunst"
1,"Artemas","proper_noun","Artemas"
1,"artemon","noun","sejl"
3,"artifex","noun","kunstner"
1,"artificium","noun","kunst"
1,"artus","adjective","led"
1,"as","noun","as"
2,"Asa","proper_noun","Asa"
105,"ascendo","verb","går op"
1,"asellus","noun","lille æsel"
2,"Aser","proper_noun","Aser"
17,"Asia","proper_noun","Asien"
1,"Asiani","noun","asiater"
5,"asina","noun","hunæsel"
2,"asinarius","adjective","æseldriver"
2,"asinus","noun","æsel"
4,"aspectus","noun","syn"
2,"asper","adjective","ujævn"
1,"aspergo","verb","påstænker"
1,"aspernor","verb","forsmår"
12,"aspicio","verb","ser hen til"
1,"aspiro","verb","ånder til"
1,"aspis","noun","øgle; slange"
1,"assequor","verb","opnår"
1,"assideo","verb","sidder hos"
2,"assigno","verb","anviser"
4,"assimulo","verb","gør lig"
12,"assisto","verb","stiller mig"
3,"Asson","proper_noun","Asson"
1,"assumentum","noun","lap"
44,"assumo","verb","tager på"
2,"assumptio","noun","antagelse"
1,"assuo","verb","syer til"
1,"assus","adjective","tør"
10,"asto","verb","står hos"
1,"astringo","verb","binder til,"
3,"astutia","noun","listighed"
1,"astutus","adjective","snu"
1,"Asyncritus","proper_noun","Asynkritos"
124,"at","adverb","men"
4,"Athenae","proper_noun","Athen"
2,"Atheniensis","adjective","athensk"
1,"atque","adverb","også"
37,"atque","conjunction","og"
1,"atramentum","noun","sværte"
11,"atrium","noun","atrium"
1,"Attalea","proper_noun","Attalea"
9,"attendo","verb","er opmærksom"
1,"attineo","verb","fastholder"
1,"attrecto","verb","beføler"
2,"auctor","noun","bagmand"
1,"auctumnalis","adjective","høstlig"
2,"audacter","adverb","dristig"
1,"audenter","adverb","modig"
20,"audeo","verb","vover"
397,"audio","verb","hører"
1,"auditor","noun","tilhører"
1,"auditorium","noun","høresal"
12,"auditus","noun","rygte"
27,"aufero","verb","stjæler"
3,"augeo","verb","forøger"
2,"augmentum","noun","forøgelse"
1,"Augustus","adjective","kejserlig"
3,"Augustus","proper_noun","Augustus"
1,"aura","noun","luft"
3,"aurea","noun","guld"
12,"aureus","adjective","gylden"
7,"auricula","noun","øreflip"
36,"auris","noun","øre"
16,"aurum","noun","guld"
1,"ausculto","verb","hører opmærksomt efter"
7,"auster","noun","sydvind"
2,"austeris","adjective","bitter"
190,"aut","conjunction","eller"
1935,"autem","adverb","men"
1,"auxilium","noun","hjælp"
6,"avaritia","noun","havesyge"
5,"avarus","adjective","begærlig"
7,"ave","interjection","hej"
1,"avello","verb","afriver"
1,"aveo","verb","ønsker"
1,"aversor","verb","tyv"
8,"averto","verb","afventer"
1,"aviditas","noun","begærlighed"
4,"avis","noun","fugl"
2,"Azor","proper_noun","Azor"
1,"Azotus","proper_noun","Ashdod"
7,"azyma","noun","usyret"
1,"azymum","noun","det usyrede brød"
1,"azymus","adjective","usyret brød"
1,"Baal","proper_noun","Baal"
11,"Babylon","proper_noun","Babylon"
4,"baiulo","verb","bærer"
2,"Balaam","proper_noun","Bileam"
1,"Balac","proper_noun","Bileam"
8,"baptisma","noun","dåb"
12,"baptismum","noun","dåb"
15,"Baptista","noun","Døberen"
75,"baptizo","verb","døber"
1,"Bar Iona","proper_noun","Jonas' søn;  Bar Iona"
11,"Barabbas","proper_noun","Barabbas "
1,"Barachias","proper_noun","Barakias"
2,"barbarus","adjective","udenlandsk"
3,"barbarus","noun","fremmed"
1,"Bariesus","proper_noun","Barjesus"
26,"Barnabas","proper_noun","Barnabas"
2,"Barsabban","proper_noun","Barsabbas"
4,"Bartholomeus","proper_noun","Bartholomæus"
1,"Bartimeus","proper_noun","Bartimæus"
1,"basis","noun","fodstykke; sokkel"
3,"beatitudo","noun","lyksalighed"
44,"beatus","adjective","velsignet"
7,"Beelzebub","proper_noun","Beelzebul"
1,"Belial","proper_noun","Beliar"
7,"bellum","noun","krig"
32,"bene","adverb","godt"
28,"benedico","verb","velsigner"
13,"benedictio","noun","velsignelse"
16,"benedictus","adjective","velsignet"
10,"benefacio","verb","beder"
1,"benefactum","noun","velgerning"
1,"beneficus","adjective","velgørend"
2,"beneplaceo","verb","behager"
4,"Beniamin","proper_noun","Benjamin"
3,"benignitas","noun","godhed"
4,"benignus","adjective","venlig"
1,"berillus","noun","beryl"
3,"Bernice","proper_noun","Berenike"
2,"Beroea","proper_noun","Berøa"
1,"Beroensis","adjective","fra Berøa"
44,"bestia","noun","vildt dur"
12,"Bethania","proper_noun","Betania "
2,"Bethfage","proper_noun","Betfage"
8,"Bethleem","proper_noun","Betlehem"
8,"Bethsaida","proper_noun","Betsajda"
77,"bibo","verb","drikker"
2,"biduum","noun","to døgn"
3,"biennium","noun","to år"
2,"bilibris","adjective","som holder to pund"
1,"bimatus","noun","to¨årrig"
3,"bini","adjective","to til hver"
6,"bis","adverb","togange"
1,"bithalassus","adjective","med vand til begge sider"
1,"Bithynia","proper_noun","Bitynien"
1,"bivium","noun","dobbeltvej"
16,"blasphemia","noun","bespottelse af Gud"
28,"blasphemo","verb","spotter Gud"
1,"Blastus","proper_noun","Blastus"
1,"Boanerges","proper_noun","Boanerges"
7,"bonitas","noun","godhed"
183,"bonus","adjective","god"
3,"Booz","proper_noun","Boaz"
7,"bos","noun","kvæg"
1,"botrus","noun","drue"
3,"bracchium","noun","arm"
2,"bravium","noun","belønning"
6,"brevio","verb","sammendrager"
3,"brevis","adjective","kort"
1,"breviter","adverb","kort"
2,"buccella","noun","brød"
4,"byssinum","noun","linned"
1,"byssum","noun","linned"
1,"byssus","noun","linned"
71,"cado","verb","fælder"
1,"cadus","noun","krukke"
3,"caecitas","noun","blindhed"
1,"caeco","verb","forblinder"
49,"caecus","adjective","blind"
1,"caedes","noun","blodbad"
32,"caedo","verb","fælder"
21,"caelestis","adjective","himmelsk"
261,"caelum","noun","himmel"
28,"Caesar","proper_noun","kejser"
17,"Caesarea","proper_noun","Cæsarea"
9,"Caiaphas","proper_noun","Kajfas"
1,"Cain","proper_noun","Kain"
2,"Cainan","proper_noun","Kenan"
2,"calamus","noun","pen"
1,"calcaneum","noun","hæl"
10,"calceamentum","noun","fodtøj"
2,"calceatus","adjective","fodtøj"
1,"calcio","verb","tager sko på"
1,"calcitro","verb","gør modstand"
5,"calco","verb","træder på"
2,"calculus","noun","sten"
4,"calefacio","verb","varmer"
1,"calefio","verb","bliver varm"
3,"calidus","adjective","varm"
2,"caligo","noun","dunst"
31,"calix","noun","bæger"
1,"calor","noun","varme"
1,"calumnia","noun","falsk klage"
2,"calumnio","verb","angriber"
4,"Calvaria","proper_noun","Hovedskalsted"
6,"camelus","noun","kamel"
3,"caminus","noun","ovn"
1,"campester","adjective","mark-"
4,"Cana","proper_noun","Kana "
2,"Cananeus","adjective","Kananæer"
1,"Candaces","proper_noun","Kandake,"
11,"candelabrum","noun","lysestage"
10,"candidus","adjective","hvid"
6,"canis","noun","hund"
15,"cano","verb","synger"
6,"canticum","noun","enkeltsang"
17,"canto","verb","synger"
1,"cantus","noun","sang"
16,"Capharnaum","proper_noun","Kapernaum"
12,"capillus","noun","hår"
17,"capio","verb","tager"
1,"Cappadocia","proper_noun","Kappadokien"
1,"captio","noun","bedrageri"
4,"captivitas","noun","fangeskab"
1,"captivo","verb","fanger"
1,"captivus","adjective","fanget"
2,"captivus","noun","fange"
2,"captura","noun","fangst "
73,"caput","noun","hoved"
7,"caracter","noun","mærke"
1,"carbo","noun","trækul"
1,"carcedonius","noun","kalkedon"
39,"carcer","noun","fænsel"
62,"caritas","noun","dyrebarhed"
10,"carnalis","adjective","kødelig"
120,"caro","noun","kød"
1,"Carpus","proper_noun","Karpos"
20,"carus","adjective","dyrbar; kær"
21,"castellum","noun","fæstning"
3,"castigo","verb","irettesætter"
2,"castitas","noun","kyskhed"
1,"Castor","proper_noun","Castor"
7,"castra","noun","lejr"
1,"castro","verb","kastrerer"
1,"castus","adjective","ren"
2,"catecizo","verb","oplærer"
2,"catellus","noun","lille hund"
10,"catena","noun","lænke"
7,"cathedra","noun","lærestol"
2,"catinus","noun","fad"
5,"cauda","noun","hale"
1,"Cauda","proper_noun","Kauda"
1,"Caurus","proper_noun","Kora"
32,"causa","noun","årsag"
1,"causor","verb","indvender"
1,"cautio","noun","forsigtighed"
7,"caveo","verb","vogter mig"
1,"Cedron","proper_noun","Kedronbækken"
1,"celeriter","adverb","hurtigt"
1,"cellarium","noun","kældermester"
15,"cena","noun","måltid"
7,"cenaculum","noun","1. sal"
2,"Cenchreae","proper_noun","Kenkreæ"
5,"ceno","verb","spiser"
3,"census","noun","formue"
1,"centeni","adjective","hundrede til hver "
1,"centesimus","ordinal_numeral","den hundrede"
1,"centiens","adverb","hundrede gange"
10,"centum","cardinal_numeral","100"
4,"centum quadraginta quattuor","cardinal_numeral","44100"
1,"centum quinquaginta tres","cardinal_numeral","153"
1,"centum viginti","cardinal_numeral","200"
1,"centuplum","noun","hundreddobbelt"
1,"centuplus","adjective","hundrede fold"
22,"centurio","noun","centurion"
7,"Cephas","proper_noun","Kefas"
3,"cerno","verb","skelner"
1,"certamen","noun","kamp"
2,"certe","adverb","sikkert"
2,"certo","verb","kappes"
9,"certus","adjective","sikker"
1,"cervical","noun","hovedpude"
3,"cervix","noun","nakke"
14,"cesso","verb","tøver"
42,"ceterus","adjective","øvrig"
1,"cetus","noun","hval"
1,"Chaldaei","noun","kaldæer"
2,"Chanaan","proper_noun","Kana'an"
1,"chananeus","adjective","kana'anæisk"
1,"charisma","noun","nådegave"
2,"Charra","proper_noun","Karan"
1,"chasma","noun","kløft"
1,"chirographum","noun","gældsbevis"
1,"Chius","proper_noun","Kios"
1,"Chloe","proper_noun","Kloes"
1,"Cho","proper_noun","Kos"
3,"chorus","noun","hob"
2,"Christianus","adjective","kristen"
429,"Christus","proper_noun","Kristus"
1,"chrysolitus","noun","krysolit"
1,"chrysoprassus","noun","krysopras"
1,"Chuza","proper_noun","Kuza"
1,"cibo","verb","fodrer"
20,"cibus","noun","mad"
8,"Cilicia","proper_noun","Kilikien "
1,"cilicinus","adjective","af hår"
2,"cilicium","noun","tæppe"
2,"cingo","verb","ombælter"
2,"cinis","noun","aske"
1,"cinnamomum","noun","kanel"
2,"circa","adverb","rundt om"
34,"circa","preposition","omkring"
2,"circiter","adverb","omtrent"
10,"circuitus","noun","omløb"
1,"circum","preposition","omkring"
1,"circumamictus","adjective","omkringliggende"
14,"circumcido","verb","omskærer"
27,"circumcisio","noun","omskærer"
15,"circumdo","verb","omgiver"
1,"circumduco","verb","fører omkring"
8,"circumeo","verb","går omkring"
3,"circumfero","verb","bærer omkring"
4,"circumfulgeo","verb","lyser omkring"
1,"circumlego","verb","sejler omkring"
2,"circumpono","verb","sætter omkring"
1,"circumsedeo","verb","sidder omkring"
7,"circumspicio","verb","ser omkring"
7,"circumsto","verb","står omkring"
6,"circumvenio","verb","omringer"
1,"Cis","proper_noun","Kish"
4,"cithara","noun","citarspil"
2,"citharizo","verb","spiller harpe"
2,"citharoedus","noun","harpespiller"
25,"cito","adverb","tilkalder"
1,"cito","verb","tilkalder"
5,"civis","noun","borger"
158,"civitas","noun","by"
1,"clam","adverb","hemmeligt; i smug"
75,"clamo","verb","råber"
4,"clamor","noun","råb; skrig"
2,"clamys","noun","kappe"
1,"clare","adverb","klart"
1,"claresco","verb","berømmer"
21,"clarifico","verb","herliggør"
16,"claritas","noun","kærlighed"
1,"clarus","adjective","berømt"
1,"Claudia","proper_noun","Claudia"
3,"Claudius","proper_noun","Claudius"
17,"claudo","verb","lukker"
13,"claudus","adjective","halt"
6,"clavis","noun","nøgle"
2,"clavus","noun","nøgle"
1,"Clemens","proper_noun","Clemens"
1,"clementia","noun","mildhed"
1,"Cleopa","proper_noun","Klopas"
1,"Cleopas","proper_noun","Kleofas"
2,"clibanus","noun","ovn"
1,"Cnidus","proper_noun","Knidos"
1,"coacervo","verb","opdynger"
1,"coaedifico","verb","bebygger"
1,"coaequalis","adjective","ens"
1,"coagito","verb","ryster med"
1,"coangusto","verb","sammentrænger"
2,"coarto","verb","sammentrænger"
2,"coccineus","adjective","skarlagenrød"
1,"coccinum","noun","skarlagen"
2,"coccum","noun","insekt"
79,"coepi","verb","begyndte"
6,"cofinus","noun","fad"
19,"cogitatio","noun","tænkning"
38,"cogito","verb","tænker"
4,"cognatio","noun","slægtskab"
11,"cognatus","adjective","beslægtet"
2,"cognitio","noun","lærer at kende"
1,"cognitus","adjective","bekendt"
15,"cognomino","verb","giver et tilnavn"
137,"cognosco","verb","lærer at kende"
7,"cogo","verb","sammendrager,"
1,"coheres","noun","medarving"
7,"cohors","noun","hob"
1,"coinquinatus","adjective","besudlet"
8,"coinquino","verb","besudler"
1,"colaphizo","verb","slår"
3,"colaphus","noun","slag"
1,"collaboro","verb","samarbejder"
1,"collactaneus","adjective","plejebror"
1,"collatio","noun","sammenstilling"
1,"collaudo","verb","roser"
2,"collecta","noun","bidrag"
18,"colligo","verb","salmer"
2,"collis","noun","høj; bakke"
1,"colloquium","noun","samtale"
3,"colloquor","verb","samtaler"
1,"colluctatio","noun","kamp"
5,"collum","noun","hals"
1,"collyrium","noun","salve"
13,"colo","verb","dyrker"
1,"colonia","noun","koloni"
5,"colonus","noun","landmand"
1,"Colossae","proper_noun","Kolossæ"
10,"columba","noun","due"
2,"columna","noun","søjle"
2,"coma","noun","hår"
9,"comburo","verb","opbrænder"
13,"comedo","verb","spiser op"
3,"comes","noun","ledsager"
2,"comesatio","noun"," svir"
1,"comitatus","noun","ledsagelse"
3,"comitor","verb","ledsager"
1,"commanduco","verb","bider"
3,"commemoratio","noun","mindelse"
1,"commemoro","verb","kalder tilbage"
1,"commendaticius","adjective","anbefalende"
15,"commendo","verb","anbetror"
2,"commilito","noun","krigskammerat"
12,"comminor","verb","truer"
3,"comminuo","verb","brækker"
3,"commisceo","verb","sammenblander"
3,"commissura","noun","sammenføjning"
3,"committo","verb","fører sammen"
1,"commodo","verb","rækker; giver"
1,"commonefacio","verb","påminder"
1,"commoneo","verb","opfordrer"
1,"commoratio","noun","tøven"
2,"commorior","verb","dør med"
1,"commoror","verb","tøver"
7,"commoveo","verb","sætter i bevægelse"
7,"communicatio","noun","meddelelse"
10,"communico","verb","gør fælles"
14,"communis","adjective","fælles"
2,"commutatio","noun","forandring"
1,"commuto","verb","forandrer"
1,"compar","adjective","lig"
4,"comparo","verb","sammenparrer"
3,"compatior","verb","lider"
3,"compello","verb","tiltaler"
3,"comperio","verb","erfarer"
3,"compes","noun","fodlænke"
1,"compingo","verb","står sammen"
6,"complaceo","verb","behager"
1,"complanto","verb","vokser sammen"
2,"complector","verb","omfavner"
7,"compleo","verb","fylder"
1,"complexo","verb","omfavner"
1,"complures","adjective","adskillige"
1,"compono","verb","stiller sammen"
18,"compr(eh)endo","verb","fanger"
5,"comprimo","verb","sammentrykker"
1,"comprobo","verb","bifalder"
1,"compunctio","noun","søvn"
1,"compungo","verb","stikker"
3,"computo","verb","sammenregner"
