"Occurrences","lex","Lexeme","None","Peal","Peil","Pael","Hafel","Afel","Shafel","Hofal","Hitpeel","Hitpaal","Hishtafal","Etpeel","Etpaal"
22,"BNH[","בנה ",,"bauen",,,,,,,"gebaut werden",,,,
1,"BNJN/","בִּנְיָן ","Gebäude",,,,,,,,,,,,
1,"BNS[","בנס ",,"sich ärgern",,,,,,,,,,,
12,"B<H[","בעה ",,"suchen; bitten",,"suchen",,,,,,,,,
2,"B<W/","בָּעוּ ","Bitte, Gebet",,,,,,,,,,,,
3,"B<L/","בְּעֵל ","Besitzer, Herr",,,,,,,,,,,,
1,"BQ<H/","בִּקְעָה ","Ebene",,,,,,,,,,,,
5,"BQR[","בקר ",,,,"suchen, nachforschen",,,,,,"nachgeforscht werden",,,
19,"BR/","בַּר I","Sohn",,,,,,,,,,,,
8,"BR=/","בַּר II","Feld",,,,,,,,,,,,
1,"BRK/","בְּרַךְ ","Knie",,,,,,,,,,,,
1,"BRK=[","ברך II",,"niederknien",,,,,,,,,,,
4,"BRK[","ברך I",,"gepriesen werden",,"preisen",,,,,,,,,
5,"BRM","בְּרַם ","aber",,,,,,,,,,,,
3,"BFR/","בְּשַׂר ","Fleisch",,,,,,,,,,,,
2,"BT/","בַּת ","Bat <Flüssigkeitsmaß>",,,,,,,,,,,,
1,"GB/","גַּב I","Rücken; Seite",,,,,,,,,,,,
10,"GB=/","גֹּב II","Grube",,,,,,,,,,,,
2,"GBWRH/","גְּבוּרָה ","Stärke",,,,,,,,,,,,
21,"GBR/","גְּבַר I","Mann",,,,,,,,,,,,
1,"GBR=/","גִּבָּר II","starker Mann",,,,,,,,,,,,
2,"GDBR/","גְּדָבַר ","Schatzmeister",,,,,,,,,,,,
2,"GDD[","גדד ",,"umhauen",,,,,,,,,,,
13,"GW>/","גֹּוא ","Mitte, Inneres",,,,,,,,,,,,
1,"GWH/","גֵּוָה ","Stolz",,,,,,,,,,,,
1,"GWX[","גוח ",,,,,"aufwühlen",,,,,,,,
1,"GZBR/","גִּזְבַּר ","Schatzmeister",,,,,,,,,,,,
6,"GZR[","גזר ",,"Astrologe, Wahrsager",,,,,,,"losbrechen",,,"losbrechen",
2,"GZRH/","גְּזֵרָה ","Entscheidung",,,,,,,,,,,,
1,"GJR/","גִּיר ","Kalk",,,,,,,,,,,,
1,"GLGL/","גַּלְגַּל ","Rad",,,,,,,,,,,,
9,"GLH[","גלה ",,"enthüllen","enthüllt werden",,"deportieren",,,,,,,,
4,"GLW/","גָּלוּ ","Deportation",,,,,,,,,,,,
2,"GLL/","גְּלָל ","bearbeitete Steine",,,,,,,,,,,,
1,"GMR[","גמר ",,"vollendet",,,,,,,,,,,
3,"GNZ/","גְּנַז ","Schatz",,,,,,,,,,,,
3,"GP/","גַּף ","Flügel",,,,,,,,,,,,
1,"GRM/","גְּרַם ","Knochen",,,,,,,,,,,,
5,"GCM/","גְּשֵׁם ","Körper",,,,,,,,,,,,
6,"D>","דָּא ","diese",,,,,,,,,,,,
1,"DB/","דֹּב ","Bär",,,,,,,,,,,,
1,"DBX/","דְּבַח ","Schlachtopfer",,,,,,,,,,,,
1,"DBX[","דבח ",,"opfern",,,,,,,,,,,
1,"DBQ[","דבק ",,"haften an",,,,,,,,,,,
2,"DBRH/","דִּבְרָה ","Angelegenheit",,,,,,,,,,,,
23,"DHB/","דְּהַב ","Gold",,,,,,,,,,,,
1,"DHJ/","דֶּהָי ","<unklar>",,,,,,,,,,,,
1,"DWQ[","דוק ",,"zerpudern",,,,,,,,,,,
7,"DWR[","דור ",,"wohnen",,,,,,,,,,,
1,"DWR>/","דּוּרָא ","Dura",,,,,,,,,,,,
1,"DWC[","דושׁ ",,"zertreten",,,,,,,,,,,
1,"DXWH/","דַּחֲוָה ","Beischläferin?; Tisch?; <Musikinstrument>?",,,,,,,,,,,,
6,"DXL[","דחל ",,"sich fürchten",,"erschrecken",,,,,,,,,
345,"DJ","דִּי ","<Relativpartikel>, <Genitivpartikel>, <Einleitung der direkten Rede>",,,,,,,,,,,,
5,"DJN/","דִּין I","Gericht; Gerichtshof",,,,,,,,,,,,
1,"DJN=/","דַּיָּן II","Richter",,,,,,,,,,,,
1,"DJN[","דין ",,"Recht sprechen",,,,,,,,,,,
1,"DJNJ/","דִּינָי ","<unklar>",,,,,,,,,,,,
6,"DK","דֵּךְ I","jener",,,,,,,,,,,,
7,"DK=","דָּךְ II","jene",,,,,,,,,,,,
3,"DKN","דִּכֵּן ","jener, jene",,,,,,,,,,,,
3,"DKR/","דְּכַר ","Widder",,,,,,,,,,,,
1,"DKRWN/","דִּכְרֹון ","Memorandum, Protokoll",,,,,,,,,,,,
2,"DKRN/","דָּכְרָן ","Memorandum, Protokoll",,,,,,,,,,,,
1,"DLQ[","דלק ",,"brennen",,,,,,,,,,,
2,"DMH[","דמה ",,"gleichen",,,,,,,,,,,
58,"DNH","דְּנָה ","dieser",,,,,,,,,,,,
52,"DNJ>L/","דָּנִיֵּאל ","Daniel",,,,,,,,,,,,
9,"DQQ[","דקק ",,,,,"zerschlagen, zermalmen",,,,,,,,
4,"DR/","דָּר ","Generation",,,,,,,,,,,,
15,"DRJWC/","דָּרְיָוֶשׁ ","Darius",,,,,,,,,,,,
1,"DR</","דְּרָע ","Arm",,,,,,,,,,,,
14,"DT/","דָּת ","Befehl, Gesetz",,,,,,,,,,,,
2,"DT>/","דֶּתֶא ","Gras",,,,,,,,,,,,
2,"DTBR/","דְּתָבַר ","Richter",,,,,,,,,,,,
6,"H","הֲ ","<Fragewort>",,,,,,,,,,,,
1,"H>","הָא I","sieh",,,,,,,,,,,,
1,"H>=","הֵא II","so wie",,,,,,,,,,,,
4,"HDBR/","הַדָּבַר ","hoher königlicher Beamter",,,,,,,,,,,,
2,"HDM/","הַדָּם ","Glied",,,,,,,,,,,,
3,"HDR/","הֲדַר ","Herrlichkeit",,,,,,,,,,,,
3,"HDR[","הדר ",,,,"verherrlichen",,,,,,,,,
15,"HW>","הוּא ","er; jener",,,,,,,,,,,,
71,"HWH[","הוה ",,"sein; werden; geschehen",,,,,,,,,,,
7,"HJ>","הִיא ","sie",,,,,,,,,,,,
13,"HJKL/","הֵיכַל ","Palast; Tempel",,,,,,,,,,,,
3,"HLK/","הֲלָךְ ","Steuer",,,,,,,,,,,,
7,"HLK[","הלך ",,"gehen",,"umhergehen","umhergehen",,,,,,,,
9,"HMW","הִמֹּו ","sie",,,,,,,,,,,,
3,"HMWN","הִמֹּון ","sie",,,,,,,,,,,,
3,"HMNJK/","הַמְנִיךְ ","Halskette",,,,,,,,,,,,
16,"HN","הֵן ","ob",,,,,,,,,,,,
1,"HRHR/","הַרְהֹר ","Traumgebilde",,,,,,,,,,,,
731,"W","וְ ","und, aber, auch",,,,,,,,,,,,
1,"ZBN[","זבן ",,"kaufen",,,,,,,,,,,
1,"ZHJR/","זְהִיר ","vorsichtig",,,,,,,,,,,,
1,"ZWN[","זון ",,,,,,,,,"sich ernähren von",,,,
2,"ZW<[","זוע ",,"beben vor",,,,,,,,,,,
1,"ZJD[","זיד ",,,,,"übermutig handeln",,,,,,,,
6,"ZJW/","זִיו ","Glanz; Gesichtsfarbe",,,,,,,,,,,,
1,"ZKW/","זָכוּ ","Unschuld",,,,,,,,,,,,
2,"ZKRJH/","זְכַרְיָה ","Secharja",,,,,,,,,,,,
11,"ZMN/","זְמָן ","Zeit; Mal",,,,,,,,,,,,
1,"ZMN[","זמן ",,,,,,,,,"übereinkommen, verabreden",,,,
4,"ZMR/","זְמָר I","Saitenspiel",,,,,,,,,,,,
1,"ZMR=/","זַמָּר II","Musikant, Sänger",,,,,,,,,,,,
4,"ZN/","זַן ","Art",,,,,,,,,,,,
1,"Z<JR/","זְעֵיר ","klein",,,,,,,,,,,,
1,"Z<Q[","זעק ",,"schreien",,,,,,,,,,,
1,"ZQP[","זקף ",,"gepfählt",,,,,,,,,,,
1,"ZRBBL/","זְרֻבָּבֶל ","Serubbabel",,,,,,,,,,,,
1,"ZR</","זְרַע ","Same, Nachkommenschaft",,,,,,,,,,,,
1,"XBWLH/","חֲבוּלָה ","Verbrechen",,,,,,,,,,,,
3,"XBL/","חֲבָל ","Verletzung, Schaden",,,,,,,,,,,,
6,"XBL[","חבל ",,,,"verletzen, zerstören",,,,,,"zerstört werden",,,
3,"XBR/","חֲבַר ","Gefährte",,,,,,,,,,,,
1,"XBRH/","חַבְרָה ","Gefährtin",,,,,,,,,,,,
2,"XGJ/","חַגַּי ","Haggai",,,,,,,,,,,,
14,"XD/","חַד ","eins; einer, eine, eines; einmal",,,,,,,,,,,,
1,"XDH/","חֲדֵה ","Brust",,,,,,,,,,,,
1,"XDWH/","חֶדְוָה ","Freude",,,,,,,,,,,,
1,"XDT/","חֲדַת ","neu",,,,,,,,,,,,
15,"XWH[","חוה ",,,,"kundtun","kundtun","kundtun",,,,,,,
1,"XWR/","חִוָּר ","weiß",,,,,,,,,,,,
31,"XZH[","חזה ",,"sehen; angemessen, üblich",,,,,,,,,,,
12,"XZW/","חֱזוּ ","Gesicht, Vision; Aussehen",,,,,,,,,,,,
2,"XZWT/","חֲזֹות ","Anblick; es war zu sehen",,,,,,,,,,,,
1,"XV>/","חֲטָא ","Sünde",,,,,,,,,,,,
1,"XV>H/","חַטָּאָה ","Sündopfer",,,,,,,,,,,,
5,"XJ/","חַי ","lebend",,,,,,,,,,,,
6,"XJH[","חיה ",,"leben",,,"leben lassen",,,,,,,,
20,"XJWH/","חֵיוָה ","Tier; Getier",,,,,,,,,,,,
2,"XJJN/","חַיִּין ","Leben",,,,,,,,,,,,
7,"XJL/","חַיִל ","Stärke; Heer",,,,,,,,,,,,
14,"XKJM/","חַכִּים ","weise",,,,,,,,,,,,
8,"XKMH/","חָכְמָה ","Weisheit",,,,,,,,,,,,
22,"XLM/","חֵלֶם ","Traum",,,,,,,,,,,,
4,"XLP[","חלף ",,"vorübergehen",,,,,,,,,,,
3,"XLQ/","חֲלָק ","Anteil",,,,,,,,,,,,
2,"XMH/","חֲמָה ","Wut",,,,,,,,,,,,
6,"XMR/","חֲמַר ","Wein",,,,,,,,,,,,
2,"XNVH/","חִנְטָה ","Weizen",,,,,,,,,,,,
4,"XNKH/","חֲנֻכָּה ","Einweihung",,,,,,,,,,,,
2,"XNN[","חנן ",,"sich erbarmen",,,,,,,,"flehen",,,
1,"XNNJH/","חֲנַנְיָה ","Hananja",,,,,,,,,,,,
1,"XSJR/","חַסִּיר ","mangelhaft",,,,,,,,,,,,
2,"XSN/","חֱסֵן ","Macht",,,,,,,,,,,,
2,"XSN[","חסן ",,,,,"besitzen",,,,,,,,
9,"XSP/","חֲסַף ","Ton",,,,,,,,,,,,
2,"XYP[","חצף ",,,,,"streng sein",,,,,,,,
1,"XRB[","חרב ",,,,,,,,"zerstört werden",,,,,
5,"XRVM/","חַרְטֹּם ","Magier",,,,,,,,,,,,
1,"XRK[","חרך ",,,,,,,,,,"versengt werden",,,
1,"XRY/","חֲרַץ ","Hüfte",,,,,,,,,,,,
1,"XCB[","חשׁב ",,"gerechnet",,,,,,,,,,,
1,"XCWK/","חֲשֹׁוךְ ","Finsternis",,,,,,,,,,,,
1,"XCX[","חשׁח ",,"nötig haben",,,,,,,,,,,
1,"XCXH/","חַשְׁחָה ","Bedarf",,,,,,,,,,,,
1,"XCXW/","חַשְׁחוּ ","Bedarf",,,,,,,,,,,,
1,"XCL[","חשׁל ",,"zermalmen",,,,,,,,,,,
1,"XTM[","חתם ",,"versiegeln",,,,,,,,,,,
1,"V>B[","טאב ",,"gut sein",,,,,,,,,,,
2,"VB/","טָב ","gut",,,,,,,,,,,,
1,"VBX/","טַבַּח ","Scharfrichter; Leibwächter",,,,,,,,,,,,
2,"VWR/","טוּר ","Berg",,,,,,,,,,,,
1,"VWT","טְוָת ","fastend, nüchtern",,,,,,,,,,,,
2,"VJN/","טִין ","Lehm",,,,,,,,,,,,
5,"VL/","טַל ","Tau",,,,,,,,,,,,
1,"VLL[","טלל ",,,,,"Schatten suchen",,,,,,,,
30,"V<M/","טְעֵם ","Geschmack; Verstand; Befehl",,,,,,,,,,,,
3,"V<M[","טעם ",,,,"zu essen geben",,,,,,,,,
2,"VPR/","טְפַר ","Nagel, Kralle",,,,,,,,,,,,
4,"VRD[","טרד ",,"vertreiben","vertrieben",,,,,,,,,,
1,"VRPLJ/","טַרְפְּלָי ","<Beamtenart>",,,,,,,,,,,,
3,"JBL[","יבל ",,,,,"bringen; darbringen",,,,,,,,
1,"JBCH/","יַבְּשָׁה ","Erde",,,,,,,,,,,,
1,"JGR/","יְגַר ","Steinhaufen",,,,,,,,,,,,
17,"JD/","יַד ","Hand; Macht",,,,,,,,,,,,
2,"JDH[","ידה ",,,,,"preisen",,,,,,,,
47,"JD<[","ידע ",,"wissen, kennen",,,"mitteilen",,,,,,,,
28,"JHB[","יהב ",,"geben; legen","übergegeben werden; legen",,,,,,"gegeben werden",,,,
7,"JHWD/","יְהוּד ","Juda",,,,,,,,,,,,
10,"JHWDJ/","יְהוּדָי ","Jude",,,,,,,,,,,,
16,"JWM/","יֹום ","Tag",,,,,,,,,,,,
1,"JWYDQ/","יֹוצָדָק ","Jozadak",,,,,,,,,,,,
9,"JZB[","יזב ",,,,,,,"retten",,,,,,
1,"JXV[","יחט ",,,,"graben?",,,,,,,,,
1,"JVB[","יטב ",,"gefallen",,,,,,,,,,,
12,"JKL[","יכל ",,"können; überwältigen",,,,,,,,,,,
2,"JM/","יַם ","Meer",,,,,,,,,,,,
1,"JSP[","יסף ",,,,,,,,"hinzugefügt werden",,,,,
3,"J<V[","יעט ",,"Rat geben; Ratgeber",,,,,,,,,,,"sich beraten"
1,"JY>[","יצא ",,,,,,,"vollenden",,,,,,
1,"JYB[","יצב ",,,,"genau feststellen",,,,,,,,,
5,"JYJB/","יַצִּיב ","zuverlässig",,,,,,,,,,,,
8,"JQD[","יקד ",,"brennen",,,,,,,,,,,
1,"JQDH/","יְקֵדָה ","Brennen",,,,,,,,,,,,
2,"JQJR/","יַקִּיר ","schwierig; ehrenwert",,,,,,,,,,,,
7,"JQR/","יְקָר ","Würde",,,,,,,,,,,,
26,"JRWCLM/","יְרוּשְׁלֶם ","Jerusalem",,,,,,,,,,,,
2,"JRX/","יְרַח ","Monat",,,,,,,,,,,,
1,"JRKH/","יַרְכָה ","Oberschenkel",,,,,,,,,,,,
1,"JCW</","יֵשׁוּעַ ","Jeschua",,,,,,,,,,,,
8,"JFR>L/","יִשְׂרָאֵל ","Israel",,,,,,,,,,,,
1,"JT","יָת ","<Akkusativpartikel>",,,,,,,,,,,,
5,"JTB[","יתב ",,"sich setzen; wohnen",,,"wohnen lassen",,,,,,,,
8,"JTJR/","יַתִּיר ","außergewöhnlich; überaus",,,,,,,,,,,,
63,"K","כְּ ","wie; entsprechend; ungefähr",,,,,,,,,,,,
1,"KDBH/","כִּדְבָה ","Lüge",,,,,,,,,,,,
1,"KH","כָּה ","hier",,,,,,,,,,,,
4,"KHL[","כהל ",,"können",,,,,,,,,,,
8,"KHN/","כָּהֵן ","Priester",,,,,,,,,,,,
1,"KWH/","כַּוָּה ","Fenster",,,,,,,,,,,,
8,"KWRC/","כֹּורֶשׁ ","Cyrus",,,,,,,,,,,,
1,"KKR/","כַּכַּר ","Talent <Gewichtseinheit>",,,,,,,,,,,,
83,"KL/","כֹּל ","Gesamtheit; ganz; jeder",,,,,,,,,,,,
7,"KLL[","כלל ",,,,,,,"vollenden",,,,"vollendet werden",,
8,"KN","כֵּן ","so",,,,,,,,,,,,
5,"KNM>","כְּנֵמָא ","so",,,,,,,,,,,,
3,"KNC[","כנשׁ ",,"versammeln",,,,,,,,"sich versammeln",,,
7,"KNT/","כְּנָת ","Kollege",,,,,,,,,,,,
13,"KSP/","כְּסַף ","Silber",,,,,,,,,,,,
13,"K<N","כְּעַן ","jetzt",,,,,,,,,,,,
3,"K<NT","כְּעֶנֶת ","und nun",,,,,,,,,,,,
1,"K<T","כְּעֶת ","und nun",,,,,,,,,,,,
4,"KPT[","כפת ",,,"gebunden werden","binden",,,,,,,,,
1,"KR/","כֹּר ","Kor <Hohlmaß>",,,,,,,,,,,,
1,"KRBLH/","כַּרְבְּלָה ","Mütze",,,,,,,,,,,,
1,"KRH[","כרה ",,,,,,,,,,,,"bekümmert sein",
1,"KRWZ/","כָּרֹוז ","Herold",,,,,,,,,,,,
1,"KRZ[","כרז ",,,,,"öffentlich ausrufen",,,,,,,,
3,"KRS>/","כָּרְסֵא ","Sessel, Thron",,,,,,,,,,,,
9,"KFDJ/","כַּשְׂדָּי ","Kaldäer",,,,,,,,,,,,
12,"KTB/","כְּתָב ","Schrift; Urkunde; Vorschrift",,,,,,,,,,,,
8,"KTB[","כתב ",,"schreiben",,,,,,,,,,,
2,"KTL/","כְּתַל ","Wand",,,,,,,,,,,,
378,"L","לְ ","nach; für; in Bezug; <Akkusativpartikel>",,,,,,,,,,,,
82,"L>","לָא ","nicht",,,,,,,,,,,,
1,"LB/","לֵב ","Herz",,,,,,,,,,,,
7,"LBB/","לְבַב ","Herz",,,,,,,,,,,,
2,"LBWC/","לְבוּשׁ ","Gewand",,,,,,,,,,,,
3,"LBC[","לבשׁ ",,"anziehen",,,"bekleiden",,,,,,,,
3,"LHN","לָהֵן I","deshalb",,,,,,,,,,,,
7,"LHN=","לָהֵן II","außer, aber",,,,,,,,,,,,
4,"LWJ/","לֵוָי ","Levit",,,,,,,,,,,,
1,"LWT","לְוָת ","bei",,,,,,,,,,,,
1,"LXM/","לְחֶם ","Mahlzeit",,,,,,,,,,,,
3,"LXNH/","לְחֵנָה ","Konkubine",,,,,,,,,,,,
5,"LJLJ/","לֵילֵי ","Nacht",,,,,,,,,,,,
7,"LCN/","לִשָּׁן ","Zunge, Sprache; Volk",,,,,,,,,,,,
8,"M>H/","מְאָה ","hundert",,,,,,,,,,,,
1,"M>ZN>/","מֹאזְנֵא ","Waage",,,,,,,,,,,,
2,"M>MR/","מֵאמַר ","Wort, Befehl",,,,,,,,,,,,
7,"M>N/","מָאן ","Gefäß",,,,,,,,,,,,
1,"MGLH/","מְגִלָּה ","Buchrolle",,,,,,,,,,,,
1,"MGR[","מגר ",,,,"stürzen",,,,,,,,,
1,"MDBX/","מַדְבַּח ","Altar",,,,,,,,,,,,
4,"MDH/","מִדָּה ","Abgabe",,,,,,,,,,,,
4,"MDWR/","מְדֹור ","Wohnung",,,,,,,,,,,,
5,"MDJ/","מָדַי I","Medien",,,,,,,,,,,,
1,"MDJ=/","מָדַי II","Meder",,,,,,,,,,,,
11,"MDJNH/","מְדִינָה ","Provinz",,,,,,,,,,,,
14,"MH","מָה ","was",,,,,,,,,,,,
1,"MWT/","מֹות ","Tod",,,,,,,,,,,,
2,"MZWN/","מָזֹון ","Nahrung",,,,,,,,,,,,
4,"MX>[","מחא ",,"schlagen",,"hindern",,,,,"an den Pfahl geschlagen werden",,,,
1,"MXLQH/","מַחְלְקָה ","Abteilung",,,,,,,,,,,,
8,"MV>[","מטא ",,"eintreten; erreichen; widerfahren",,,,,,,,,,,
1,"MJC>L/","מִישָׁאֵל ","Mischaël",,,,,,,,,,,,
14,"MJCK/","מֵישַׁךְ ","Meschach",,,,,,,,,,,,
2,"ML>[","מלא ",,"füllen",,,,,,,"erfüllt werden",,,,
2,"ML>K/","מַלְאַךְ ","Engel",,,,,,,,,,,,
24,"MLH/","מִלָּה ","Wort, Sache",,,,,,,,,,,,
3,"MLX/","מְלַח ","Salz",,,,,,,,,,,,
1,"MLX[","מלח ",,"Salz essen, verpflichtet sein",,,,,,,,,,,
180,"MLK/","מֶלֶךְ I","König",,,,,,,,,,,,
1,"MLK=/","מְלַךְ II","Rat",,,,,,,,,,,,
2,"MLKH/","מַלְכָּה ","Königin",,,,,,,,,,,,
57,"MLKW/","מַלְכוּ ","Königsherrschaft; Königreich",,,,,,,,,,,,
5,"MLL[","מלל ",,,,"reden",,,,,,,,,
119,"MN","מִן I","aus; mehr als; seit; gemäß",,,,,,,,,,,,
10,"MN=","מַן II","wer; der wer",,,,,,,,,,,,
3,"MN>/","מְנֵא ","Mine <Gewichtseinheit>",,,,,,,,,,,,
4,"MND</","מַנְדַּע ","Verstand",,,,,,,,,,,,
