"Occurrences","Lexeme","Strong's number","Strong's unreliable?","Gloss"
2,"ἀγοραῖος",60,"no","a lounger in the market-place"
2,"ἄγρα",61,"no","catching, catch"
1,"ἀγράμματος",62,"no","uneducated"
1,"ἀγραυλέω",63,"no","spend the night in the open"
1,"ἀγρεύω",64,"no","catch, capture"
2,"ἀγριέλαιος",65,"no","wild olive tree"
3,"ἄγριος",66,"no","wild, fierce"
11,"Ἀγρίππας",67,"no","Agrippa"
36,"ἀγρός",68,"no","field, country"
4,"ἀγρυπνέω",69,"no","am awake"
2,"ἀγρυπνία",70,"no","sleeplessness, watching"
69,"ἄγω",71,"no","lead"
1,"ἀγωγή",72,"no","conduct"
6,"ἀγών",73,"no","contest"
1,"ἀγωνία",74,"no","contest, agony"
8,"ἀγωνίζομαι",75,"no","strive, contend"
9,"Ἀδάμ",76,"no","Adam"
1,"ἀδάπανος",77,"no","without expense, free"
1,"Ἀδδί",78,"no","Addi"
26,"ἀδελφή",79,"no","sister"
343,"ἀδελφός",80,"no","brother"
2,"ἀδελφότης",81,"no","brotherhood"
2,"ἄδηλος",82,"no","unseen, not obvious"
1,"ἀδηλότης",83,"no","uncertainty"
1,"ἀδήλως",84,"no","out of sight, uncertainly"
3,"ἀδημονέω",85,"no","am troubled, distressed"
1,"ἀδιάκριτος",87,"no","unambiguous"
2,"ἀδιάλειπτος",88,"no","unceasing, unremitting"
4,"ἀδιαλείπτως",89,"no","unceasingly"
28,"ἀδικέω",91,"no","act unjustly towards"
3,"ἀδίκημα",92,"no","crime, misdeed"
25,"ἀδικία",93,"no","unrighteousness"
12,"ἄδικος",94,"no","unjust, unrighteous"
1,"ἀδίκως",95,"no","unjustly"
1,"ἀδμίν",284,"yes","Amminadab"
8,"ἀδόκιμος",96,"no","failing to pass the test"
1,"ἄδολος",97,"no","pure"
1,"Ἀδραμυττηνός",98,"no","belonging to Adramyttium"
1,"Ἀδρίας",99,"no","Adriatic Sea"
1,"ἁδρότης",100,"no","lavishness"
2,"ἀδυνατέω",101,"no","to be impossible"
10,"ἀδύνατος",102,"no","incapable, impossible"
7,"ἀεί",104,"no","always"
5,"ἀετός",105,"no","eagle, bird of prey"
9,"ἄζυμος",106,"no","unleavened, the paschal feast, uncorrupted"
2,"Ἀζώρ",107,"no","Azor"
1,"Ἄζωτος",108,"no","Azotus, Ashdod"
7,"ἀήρ",109,"no","air"
3,"ἀθανασία",110,"no","immortality"
2,"ἀθέμιτος",111,"no","illegal, unlawful"
1,"ἄθεος",112,"no","godless"
2,"ἄθεσμος",113,"no","lawless"
16,"ἀθετέω",114,"no","annul"
2,"ἀθέτησις",115,"no","nullification, abrogation"
4,"Ἀθῆναι",116,"no","Athens"
2,"Ἀθηναῖος",117,"no","Athenian"
2,"ἀθλέω",118,"no","compete"
1,"ἄθλησις",119,"no","contest"
1,"ἀθροίζω",4867,"yes","gather together, assemble"
1,"ἀθυμέω",120,"no","lose heart"
2,"ἀθῷος",121,"no","guiltless"
1,"αἴγειος",122,"no","of a goat"
6,"αἰγιαλός",123,"no","sea-coast, beach"
5,"Αἰγύπτιος",124,"no","Egyptian"
25,"Αἴγυπτος",125,"no","Egypt"
2,"ἀΐδιος",126,"no","eternal"
1,"αἰδώς",127,"no","shame, modesty"
2,"Αἰθίοψ",128,"no","Ethiopian"
97,"αἷμα",129,"no","blood"
1,"αἱματεκχυσία",130,"no","shedding or pouring forth of blood"
1,"αἱμορροέω",131,"no","suffer from a continual flow (oozing) of blood"
2,"Αἰνέας",132,"no","Aeneas"
1,"αἴνεσις",133,"no","praise"
8,"αἰνέω",134,"no","praise"
1,"αἴνιγμα",135,"no","riddle, enigma"
2,"αἶνος",136,"no","praise"
1,"Αἰνών",137,"no","Aenon"
9,"αἵρεσις",139,"no","self-chosen opinion, sect"
1,"αἱρετίζω",140,"no","choose"
1,"αἱρετικός",141,"no","factious"
3,"αἱρέω",138,"no","choose, prefer"
101,"αἴρω",142,"no","raise, lift up"
1,"αἰσθάνομαι",143,"no","perceive"
1,"αἴσθησις",144,"no","perception"
1,"αἰσθητήριον",145,"no","perceptive faculty"
2,"αἰσχροκερδής",146,"no","greedy"
1,"αἰσχροκερδῶς",147,"no","greedily"
1,"αἰσχρολογία",148,"no","filthy speech"
4,"αἰσχρός",150,"no","base, disgraceful"
1,"αἰσχρότης",151,"no","obscenity, indecency, baseness"
6,"αἰσχύνη",152,"no","shame"
5,"αἰσχύνω",153,"no","am ashamed, am put to shame"
70,"αἰτέω",154,"no","ask, request, beg, petition"
3,"αἴτημα",155,"no","petition, request"
20,"αἰτία",156,"no","cause, reason, charge"
5,"αἴτιος",159,"no","the cause of, the originator of"
1,"αἰτίωμα",157,"no","charge, accusation"
2,"αἰφνίδιος",160,"no","unexpected, sudden"
3,"αἰχμαλωσία",161,"no","captivity"
1,"αἰχμαλωτεύω",162,"no","take captive"
4,"αἰχμαλωτίζω",163,"no","take captive, subdue, ensnare"
1,"αἰχμάλωτος",164,"no","captive, prisoner"
124,"αἰών",165,"no","age, cycle of time"
71,"αἰώνιος",166,"no","eternal, unending"
10,"ἀκαθαρσία",167,"no","uncleanness, impurity"
31,"ἀκάθαρτος",169,"no","unclean, impure"
1,"ἀκαιρέομαι",170,"no","am without a suitable opportunity"
1,"ἀκαίρως",171,"no","unseasonably"
2,"ἄκακος",172,"no","innocent, guileless, simple"
14,"ἄκανθα",173,"no","thorn-bush"
2,"ἀκάνθινος",174,"no","made of thorns"
7,"ἄκαρπος",175,"no","unfruitful, barren"
1,"ἀκατάγνωστος",176,"no","uncondemned, unimpeachable"
2,"ἀκατακάλυπτος",177,"no","not veiled, unveiled"
2,"ἀκατάκριτος",178,"no","uncondemned"
1,"ἀκατάλυτος",179,"no","indissoluble, that cannot be broken up"
1,"ἀκατάπαυστος",180,"no","not ceasing from, not abandoning"
5,"ἀκαταστασία",181,"no","disturbance, upheaval, revolution"
2,"ἀκατάστατος",182,"no","unsettled, unstable"
1,"Ἁκελδαμάχ",184,"no","Akeldama"
3,"ἀκέραιος",185,"no","simple, unsophisticated, innocent"
1,"ἀκλινής",186,"no","unbent, unyielding, resolute"
1,"ἀκμάζω",187,"no","reach maturity, become ripe"
1,"ἀκμήν",188,"no","even now"
24,"ἀκοή",189,"no","hearing, faculty of hearing, ear"
90,"ἀκολουθέω",190,"no","accompany, attend, follow"
428,"ἀκούω",191,"no","hear, listen"
2,"ἀκρασία",192,"no","incontinence, intemperance, lack of restraint"
1,"ἀκρατής",193,"no","lacking self-control, inclined to excess"
1,"ἄκρατος",194,"no","unmixed, undiluted"
1,"ἀκρίβεια",195,"no","strictness, accuracy"
1,"ἀκριβής",196,"no","most exact, strict"
2,"ἀκριβόω",198,"no","examine carefully, inquire strictly"
9,"ἀκριβῶς",199,"no","carefully, exactly, strictly"
4,"ἀκρίς",200,"no","locust"
1,"ἀκροατήριον",201,"no","auditorium, recitation hall, court room"
4,"ἀκροατής",202,"no","hearer of, listener to"
20,"ἀκροβυστία",203,"no","foreskin"
2,"ἀκρογωνιαῖος",204,"no","in the corner, cornerstone"
1,"ἀκροθίνιον",205,"no","spoil, treasure"
6,"ἄκρον",206,"no","end, extremity"
6,"Ἀκύλας",207,"no","Aquila"
3,"ἀκυρόω",208,"no","annul, make of no effect, cancel"
1,"ἀκωλύτως",209,"no","freely, without hindrance"
1,"ἄκων",210,"no","unwilling"
4,"ἀλάβαστρος",211,"no","alabaster phial or bottle"
2,"ἀλαζονεία",212,"no","boasting, show, arrogant display"
2,"ἀλαζών",213,"no","boaster"
2,"ἀλαλάζω",214,"no","cry aloud, a clanging or clashing cymbal"
1,"ἀλάλητος",215,"no","unutterable, that baffles words"
3,"ἄλαλος",216,"no","unable to speak"
8,"ἅλας",217,"no","salt"
9,"ἀλείφω",218,"no","anoint"
1,"ἀλεκτοροφωνία",219,"no","cockcrow"
11,"ἀλέκτωρ",220,"no","cock, rooster"
2,"Ἀλεξανδρεύς",221,"no","Alexandrian"
2,"Ἀλεξανδρῖνος",222,"no","Alexandrian"
6,"Ἀλέξανδρος",223,"no","Alexander"
2,"ἄλευρον",224,"no","meal, flour"
109,"ἀλήθεια",225,"no","truth"
2,"ἀληθεύω",226,"no","say, speak truth, do truth"
26,"ἀληθής",227,"no","unconcealed, true"
28,"ἀληθινός",228,"no","true, real, genuine"
2,"ἀλήθω",229,"no","grind"
18,"ἀληθῶς",230,"no","truly, really, certainly"
5,"ἁλιεύς",231,"no","fisherman"
1,"ἁλιεύω",232,"no","fish"
2,"ἁλίζω",233,"no","salt, sprinkle with salt, keep fresh and sound"
1,"ἀλίσγημα",234,"no","pollution, perhaps polluted thing"
638,"ἀλλά",235,"no","but, except"
6,"ἀλλάσσω",236,"no","change, alter"
1,"ἀλλαχόθεν",237,"no","from another quarter, by another way"
1,"ἀλλαχοῦ",237,"yes","from another quarter, by another way"
1,"ἀλληγορέω",238,"no","speak allegorically"
4,"ἁλληλουϊά",239,"no","Hallelujah, Praise the Lord"
100,"ἀλλήλων",240,"no","one another"
1,"ἀλλογενής",241,"no","of another nation, a foreigner"
3,"ἅλλομαι",242,"no","leap, bubble up"
154,"ἄλλος",243,"no","other, another, different"
1,"ἀλλοτριεπίσκοπος",244,"no","prier into other men's affairs"
14,"ἀλλότριος",245,"no","belonging to another person, foreign"
1,"ἀλλόφυλος",246,"no","foreign"
1,"ἄλλως",247,"no","otherwise"
3,"ἀλοάω",248,"no","thresh"
3,"ἄλογος",249,"no","unreasonable, senseless"
1,"ἀλόη",250,"no","aloes"
1,"ἁλυκός",252,"no","salty, saltine, bitter"
1,"ἄλυπος",253,"no","free from pain, grief, trouble"
11,"ἅλυσις",254,"no","light chain"
1,"ἀλυσιτελής",255,"no","profitless, unprofitable"
3,"ἄλφα",1,"no","first letter of Greek alphabet"
5,"Ἁλφαῖος",256,"no","Alphaeus"
2,"ἅλων",257,"no","threshing-floor"
3,"ἀλώπηξ",258,"no","fox"
1,"ἅλωσις",259,"no","capture, capturing"
10,"ἅμα",260,"no","at the same time, along with"
1,"ἀμαθής",261,"no","unlearned, ignorant"
1,"ἀμαράντινος",262,"no","unfading, fadeless"
1,"ἀμάραντος",263,"no","unfading"
43,"ἁμαρτάνω",264,"no","sin"
4,"ἁμάρτημα",265,"no","fault, sin, evil deed"
173,"ἁμαρτία",266,"no","sin"
1,"ἀμάρτυρος",267,"no","without witness, untestified to"
47,"ἁμαρτωλός",268,"no","sinning, sinful, a sinner"
2,"ἄμαχος",269,"no","not quarrelsome, peaceable"
1,"ἀμάω",270,"no","mow, reap"
1,"ἀμέθυστος",271,"no","amethyst"
4,"ἀμελέω",272,"no","neglect"
5,"ἄμεμπτος",273,"no","blameless"
2,"ἀμέμπτως",274,"no","blamelessly"
2,"ἀμέριμνος",275,"no","free from anxiety"
2,"ἀμετάθετος",276,"no","unchanged, unchangeable"
1,"ἀμετακίνητος",277,"no","immovable, firm"
2,"ἀμεταμέλητος",278,"no","not to be repented of"
1,"ἀμετανόητος",279,"no","unrepentant"
2,"ἄμετρος",280,"no","not measurable, immeasurable"
126,"ἀμήν",281,"no","verily, truly, amen, so let it be"
1,"ἀμήτωρ",282,"no","whose mother's name is not recorded or known"
4,"ἀμίαντος",283,"no","undefiled, untainted"
3,"Ἀμιναδάβ",284,"no","Amminadab"
5,"ἄμμος",285,"no","sand"
4,"ἀμνός",286,"no","lamb"
1,"ἀμοιβή",287,"no","change, exchange"
9,"ἄμπελος",288,"no","vine"
1,"ἀμπελουργός",289,"no","vine-dresser"
23,"ἀμπελών",290,"no","vineyard"
1,"Ἀμπλιᾶτος",291,"no","Ampliatus"
1,"ἀμύνομαι",292,"no","defend"
1,"ἀμφιβάλλω",906,"yes","cast, throw, rush, put, place, drop"
1,"ἀμφίβληστρον",293,"no","fishing net, drag-net"
1,"ἀμφιέζω",294,"yes","put on, clothe"
3,"ἀμφιέννυμι",294,"no","put on, clothe"
1,"Ἀμφίπολις",295,"no","Amphipolis"
1,"ἄμφοδον",296,"no","street, quarter, block"
14,"ἀμφότεροι",297,"no","both of two"
1,"ἀμώμητος",298,"no","without blame or fault"
1,"ἄμωμον",299,"yes","blameless"
8,"ἄμωμος",299,"no","blameless"
3,"Ἀμώς",301,"no","Amos"
164,"ἄν",302,"no","an untranslatable word that makes a statement contingent"
13,"ἀνά",303,"no","and, apiece, by, each, every, in, through"
2,"ἀναβαθμός",304,"no","step, flight of steps"
81,"ἀναβαίνω",305,"no","go up, mount, ascend"
1,"ἀναβάλλω",306,"no","postpone, defer"
1,"ἀναβιβάζω",307,"no","draw up"
25,"ἀναβλέπω",308,"no","look up, recover my sight"
1,"ἀνάβλεψις",309,"no","recovery of sight"
1,"ἀναβοάω",310,"no","shout upwards, cry out, raise my voice"
1,"ἀναβολή",311,"no","postponement, delay, putting off"
2,"ἀνάγαιον",508,"no","upper room"
13,"ἀναγγέλλω",312,"no","announce, make known, report"
2,"ἀναγεννάω",313,"no","beget again, beget into a new life"
32,"ἀναγινώσκω",314,"no","read"
9,"ἀναγκάζω",315,"no","force, compel"
8,"ἀναγκαῖος",316,"no","necessary, essential"
1,"ἀναγκαστῶς",317,"no","by force, necessarily"
17,"ἀνάγκη",318,"no","necessity, constraint, compulsion"
3,"ἀνάγνωσις",320,"no","reading"
23,"ἀνάγω",321,"no","lead up, put to sea, set sail"
2,"ἀναδείκνυμι",322,"no","show forth, show clearly, proclaim, appoint"
1,"ἀνάδειξις",323,"no","proclamation of appointment"
2,"ἀναδέχομαι",324,"no","welcome, receive kindly, undertake"
1,"ἀναδίδωμι",325,"no","send up, deliver, hand over"
2,"ἀναζάω",326,"no","come to life again, revive"
3,"ἀναζητέω",327,"no","seek out, search for"
1,"ἀναζώννυμι",328,"no","gird up, brace up"
1,"ἀναζωπυρέω",329,"no","stir up the fire, fan the flame of"
1,"ἀναθάλλω",330,"no","thrive or flourish again"
6,"ἀνάθεμα",331,"no","curse, cursed thing"
4,"ἀναθεματίζω",332,"no","curse, invoke curses"
2,"ἀναθεωρέω",333,"no","look at attentively, consider"
1,"ἀνάθημα",334,"no","offering dedicated by worshipper"
1,"ἀναίδεια",335,"no","shamelessness, shameless persistence"
1,"ἀναίρεσις",336,"no","killing, slaying, murder"
24,"ἀναιρέω",337,"no","take up, abolish, murder"
2,"ἀναίτιος",338,"no","guiltless"
2,"ἀνακαθίζω",339,"no","sit up"
1,"ἀνακαινίζω",340,"no","renew, restore"
2,"ἀνακαινόω",341,"no","renew, amend, change"
2,"ἀνακαίνωσις",342,"no","renewing"
2,"ἀνακαλύπτω",343,"no","unveil"
4,"ἀνακάμπτω",344,"no","return"
14,"ἀνάκειμαι",345,"no","recline, especially at a dinner-table"
2,"ἀνακεφαλαιόω",346,"no","sum up, summarize, recapitulate, gather up in one"
6,"ἀνακλίνω",347,"no","make to recline, recline at a table"
5,"ἀνακράζω",349,"no","shout aloud"
16,"ἀνακρίνω",350,"no","examine, inquire into"
1,"ἀνάκρισις",351,"no","judicial examination, preliminary inquiry"
1,"ἀνακυλίω",617,"yes","roll away"
4,"ἀνακύπτω",352,"no","raise myself, look up"
13,"ἀναλαμβάνω",353,"no","take up, raise"
1,"ἀνάλημψις",354,"no","taking up, lifting up"
2,"ἀναλίσκω",355,"no","destroy, annihilate"
1,"ἀναλογία",356,"no","proportion, measure"
1,"ἀναλογίζομαι",357,"no","think upon, consider attentively"
1,"ἄναλος",358,"no","saltless, tasteless, flat"
1,"ἀνάλυσις",359,"no","departing, departure from this life"
2,"ἀναλύω",360,"no","depart, return"
1,"ἀναμάρτητος",361,"no","without blame, faultless"
1,"ἀναμένω",362,"no","await"
6,"ἀναμιμνῄσκω",363,"no","remind, admonish, remember"
4,"ἀνάμνησις",364,"no","recalling, remembrance, memory"
1,"ἀνανεόω",365,"no","renew"
1,"ἀνανήφω",366,"no","become sober again, recover sound sense"
11,"Ἁνανίας",367,"no","Ananias"
1,"ἀναντίρρητος",368,"no","indisputable, not to be contradicted"
1,"ἀναντιρρήτως",369,"no","without contradiction"
1,"ἀνάξιος",370,"no","unworthy, inadequate"
1,"ἀναξίως",371,"no","unworthily, in an unworthy manner"
5,"ἀνάπαυσις",372,"no","rest, cessation from labor, refreshment"
12,"ἀναπαύω",373,"no","make to rest, give rest to, rest, take my ease"
1,"ἀναπείθω",374,"no","urge by evil persuasion, tempt"
5,"ἀναπέμπω",375,"no","send up to a higher tribunal, send back"
1,"ἀναπηδάω",1530,"yes","leap into, rush into"
2,"ἀνάπηρος",376,"no","crippled, maimed"
12,"ἀναπίπτω",377,"no","lie down, recline, fall back upon"
6,"ἀναπληρόω",378,"no","fill up, make up, fulfill"
2,"ἀναπολόγητος",379,"no","indefensible, inexcusable"
2,"ἀνάπτω",381,"no","kindle, set on fire"
1,"ἀναρίθμητος",382,"no","uncountable, innumerable"
2,"ἀνασείω",383,"no","shake up, stir up, excite"
1,"ἀνασκευάζω",384,"no","pervert, unsettle, destroy"
2,"ἀνασπάω",385,"no","drag up, pull up"
42,"ἀνάστασις",386,"no","rising again, resurrection"
3,"ἀναστατόω",387,"no","turn upside down, upset, unsettle"
1,"ἀνασταυρόω",388,"no","crucify again"
1,"ἀναστενάζω",389,"no","groan or sigh deeply"
9,"ἀναστρέφω",390,"no","overturn, turn upside down, return, mid. and pass: conduct myself, live"
13,"ἀναστροφή",391,"no","behavior, manner of life"
1,"ἀνατάσσομαι",392,"no","arrange, draw up, compose"
9,"ἀνατέλλω",393,"no","make to rise, rise, shine"
2,"ἀνατίθημι",394,"no","lay a case before, impart, communicate, relate"
11,"ἀνατολή",395,"no","rising of sun, East"
3,"ἀνατρέπω",396,"no","subvert, overturn, overthrow"
3,"ἀνατρέφω",397,"no","rear, bring up"
2,"ἀναφαίνω",398,"no","sight, appear"
10,"ἀναφέρω",399,"no","carry up, lead up, offer up"
1,"ἀναφωνέω",400,"no","call out, shout"
1,"ἀνάχυσις",401,"no","outpouring, excess"
14,"ἀναχωρέω",402,"no","return, retire, depart, withdraw"
1,"ἀνάψυξις",403,"no","refreshing, refreshment"
1,"ἀναψύχω",404,"no","refresh, revive, comfort"
1,"ἀνδραποδιστής",405,"no","enslaver, kidnapper"
13,"Ἀνδρέας",406,"no","Andrew"
1,"ἀνδρίζομαι",407,"no","act like a man, am brave"
1,"Ἀνδρόνικος",408,"no","Andronicus"
1,"ἀνδροφόνος",409,"no","murderer"
5,"ἀνέγκλητος",410,"no","irreproachable, blameless"
1,"ἀνεκδιήγητος",411,"no","indescribable, that cannot be thoroughly related"
1,"ἀνεκλάλητος",412,"no","unspeakable"
1,"ἀνέκλειπτος",413,"no","unfailing"
5,"ἀνεκτός",414,"no","endurable, tolerable"
1,"ἀνελεήμων",415,"no","without compassion, cruel"
1,"ἀνέλεος",448,"no","without mercy"
1,"ἀνεμίζω",416,"no","am blown with the wind"
31,"ἄνεμος",417,"no","wind"
1,"ἀνένδεκτος",418,"no","impossible"
1,"ἀνεξεραύνητος",419,"no","that cannot be searched into, inscrutable"
1,"ἀνεξίκακος",420,"no","enduring evil, patient of evil"
2,"ἀνεξιχνίαστος",421,"no","incomprehensible"
1,"ἀνεπαίσχυντος",422,"no","having no cause to be ashamed"
3,"ἀνεπίλημπτος",423,"no","irreproachable"
3,"ἀνέρχομαι",424,"no","come up, go up"
5,"ἄνεσις",425,"no","relief, remission, indulgence, freedom, rest"
2,"ἀνετάζω",426,"no","examine judicially"
3,"ἄνευ",427,"no","without, without the cooperation or knowledge of"
1,"ἀνεύθετος",428,"no","unsuitable, inconvenient"
2,"ἀνευρίσκω",429,"no","find by seeking out"
15,"ἀνέχω",430,"no","endure, bear with"
1,"ἀνεψιός",431,"no","cousin"
1,"ἄνηθον",432,"no","anise, dill"
3,"ἀνήκω",433,"no","is due, becoming, suitable, proper"
1,"ἀνήμερος",434,"no","not tame, fierce"
216,"ἀνήρ",435,"no","male human being, man"
14,"ἀνθίστημι",436,"no","take a stand against, oppose, resist"
1,"ἀνθομολογέομαι",437,"no","confess, give thanks to"
4,"ἄνθος",438,"no","bloom, flower"
2,"ἀνθρακιά",439,"no","heap of burning coals"
1,"ἄνθραξ",440,"no","coal"
2,"ἀνθρωπάρεσκος",441,"no","desirous of pleasing men"
7,"ἀνθρώπινος",442,"no","belonging to human beings, human"
3,"ἀνθρωποκτόνος",443,"no","a murderer"
548,"ἄνθρωπος",444,"no","man, one of human race"
5,"ἀνθύπατος",446,"no","proconsul"
4,"ἀνίημι",447,"no","let go, loosen, release, give up, neglect"
2,"ἄνιπτος",449,"no","unwashed"
108,"ἀνίστημι",450,"no","raise up, set up, rise from"
1,"Ἅννα",451,"no","Anna"
4,"Ἅννας",452,"no","Annas"
6,"ἀνόητος",453,"no","foolish, thoughtless"
2,"ἄνοια",454,"no","folly, madness"
78,"ἀνοίγω",455,"no","open"
2,"ἀνοικοδομέω",456,"no","rebuild, build up, build"
1,"ἄνοιξις",457,"no","act of opening"
15,"ἀνομία",458,"no","lawlessness, iniquity"
9,"ἄνομος",459,"no","lawless, sinful, illegal"
2,"ἀνόμως",460,"no","without law"
3,"ἀνορθόω",461,"no","make straight again, rear again, restore"
2,"ἀνόσιος",462,"no","regarding nothing as holy"
2,"ἀνοχή",463,"no","forbearance"
1,"ἀνταγωνίζομαι",464,"no","resist, strive against"
2,"ἀντάλλαγμα",465,"no","exchange, purchasing price"
1,"ἀνταναπληρόω",466,"no","fill up in place of someone else"
7,"ἀνταποδίδωμι",467,"no","give in return"
2,"ἀνταπόδομα",468,"no","gift in return, return, recompense"
1,"ἀνταπόδοσις",469,"no","reward, recompense"
2,"ἀνταποκρίνομαι",470,"no","contradict"
4,"ἀντέχω",472,"no","hold fast to"
22,"ἀντί",473,"no","instead of, for"
1,"ἀντιβάλλω",474,"no","throw at in opposition, exchange words with"
1,"ἀντιδιατίθημι",475,"no","oppose"
5,"ἀντίδικος",476,"no","opponent, adversary"
1,"ἀντίθεσις",477,"no","opposition"
1,"ἀντικαθίστημι",478,"no","resist"
1,"ἀντικαλέω",479,"no","invite in return"
8,"ἀντίκειμαι",480,"no","resist, oppose"
1,"ἄντικρυς",481,"no","right opposite, over against"
3,"ἀντιλαμβάνω",482,"no","take hold of, help, share in"
11,"ἀντιλέγω",483,"no","speak or say in opposition, contradict"
1,"ἀντίλημψις",484,"no","help, ministration"
4,"ἀντιλογία",485,"no","contradiction, contention, rebellion"
1,"ἀντιλοιδορέω",486,"no","abuse in return, give abuse for abuse"
1,"ἀντίλυτρον",487,"no","ransom"
1,"ἀντιμετρέω",488,"no","measure in return, give equivalent measure"
2,"ἀντιμισθία",489,"no","reward, recompense"
18,"Ἀντιόχεια",490,"no","Antioch"
1,"Ἀντιοχεύς",491,"no","Antiochian"
2,"ἀντιπαρέρχομαι",492,"no","pass opposite"
1,"Ἀντιπᾶς",493,"no","Antipas"
1,"Ἀντιπατρίς",494,"no","Antipatris"
1,"ἀντιπέρα",495,"no","on the opposite side or shore"
1,"ἀντιπίπτω",496,"no","fall foul of, resist, oppose"
1,"ἀντιστρατεύω",497,"no","campaign against, war against"
5,"ἀντιτάσσω",498,"no","set myself against, resist"
2,"ἀντίτυπος",499,"no","typical of, representing by type or pattern"
5,"ἀντίχριστος",500,"no","antichrist"
4,"ἀντλέω",501,"no","draw, draw out"
1,"ἄντλημα",502,"no","pail"
1,"ἀντοφθαλμέω",503,"no","face, resist"
4,"ἄνυδρος",504,"no","without water, dry"
6,"ἀνυπόκριτος",505,"no","unfeigned, without hypocrisy"
4,"ἀνυπότακτος",506,"no","unruly"
9,"ἄνω",507,"no","up, above, things above, heaven"
13,"ἄνωθεν",509,"no","from above, from the beginning, again"
1,"ἀνωτερικός",510,"no","upper, higher-lying"
2,"ἀνώτερος",511,"no","higher, to a more honorable place, previously, above"
2,"ἀνωφελής",512,"no","useless, unprofitable"
2,"ἀξίνη",513,"no","axe"
41,"ἄξιος",514,"no","worthy, worthy of, deserving"
7,"ἀξιόω",515,"no","account or treat as worthy"
6,"ἀξίως",516,"no","worthily, in a manner worthy of"
5,"ἀόρατος",517,"no","unseen, invisible"
46,"ἀπαγγέλλω",518,"no","report, bring a report, announce"
1,"ἀπάγχω",519,"no","choke, strangle"
1,"ἀπάγω",520,"yes","lead, carry, take away"
14,"ἀπάγω",520,"no","lead, carry, take away"
1,"ἀπαίδευτος",521,"no","untrained, uneducated"
3,"ἀπαίρω",522,"no","take away, remove"
2,"ἀπαιτέω",523,"no","ask back, ask what is my due"
1,"ἀπαλγέω",524,"no","am past feeling, cease to care, become callous"
3,"ἀπαλλάσσω",525,"no","free from"
3,"ἀπαλλοτριόω",526,"no","estrange, alienate"
2,"ἁπαλός",527,"no","tender"
2,"ἀπαντάω",528,"no","meet, encounter"
3,"ἀπάντησις",529,"no","act of meeting, to meet"
14,"ἅπαξ",530,"no","once, once for all"
1,"ἀπαράβατος",531,"no","inviolable, unchangeable"
