"Occurrences","lex","Lexeme","Transliterated","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
3,">DM==/","אֹדֶם III","ʔōdem","rubi? (pedra preciosa vermelha)",,,,,,,,,,,,,,,,
8,">DM===/","אָדָם IV","ʔādām","Adam",,,,,,,,,,,,,,,,
1,">DM====/","אָדָם V","ʔādām","Adam",,,,,,,,,,,,,,,,
10,">DM[","אדם ","ʔDM",,"ser vermelho",,,"ser tingido de vermelho, ser esfregado com vermelho","parecer avermelhado","ser vermelho",,,,,,,,,,
6,">DMDM/","אֲדַמְדָּם ","ʔᵃdamdām","avermelhado",,,,,,,,,,,,,,,,
223,">DMH/","אֲדָמָה I","ʔᵃdāmāʰ","terra, solo, terreno, chão",,,,,,,,,,,,,,,,
5,">DMH=/","אַדְמָה II","ʔadmāʰ","Admah",,,,,,,,,,,,,,,,
3,">DMH==/","אֲדָמָה III","ʔᵃdāmāʰ","Adamah",,,,,,,,,,,,,,,,
12,">DMJ/","אֲדֹמִי ","ʔᵃdōmî","Edomite",,,,,,,,,,,,,,,,
1,">DMJ_HNQB/","אֲדָמִי הַנֶּקֶב ","ʔᵃdāmî hanneqev","Adami Nekeb",,,,,,,,,,,,,,,,
3,">DMNJ/","אַדְמֹנִי ","ʔadmōnî","vermelho, marrom-avermelhado",,,,,,,,,,,,,,,,
1,">DMT>/","אַדְמָתָא ","ʔadmātāˀ","Admatha",,,,,,,,,,,,,,,,
57,">DN/","אֶדֶן I","ʔeden","pedestal, soquete, base",,,,,,,,,,,,,,,,
1,">DN=/","אַדָּן II","ʔaddān","Addon",,,,,,,,,,,,,,,,
438,">DNJ/","אֲדֹנָי ","ʔᵃdōnāʸ","Senhor",,,,,,,,,,,,,,,,
3,">DNJ_BZQ/","אֲדֹנִי בֶזֶק ","ʔᵃdōnî vezeq","Adoni-Bezek",,,,,,,,,,,,,,,,
2,">DNJ_YDQ/","אֲדֹנִי צֶדֶק ","ʔᵃdōnî ṣedeq","Adoni-Zedek",,,,,,,,,,,,,,,,
7,">DNJH/","אֲדֹנִיָּה ","ʔᵃdōniyyāʰ","Adonijah",,,,,,,,,,,,,,,,
19,">DNJHW/","אֲדֹנִיָּהוּ ","ʔᵃdōniyyāhû","Adonijah",,,,,,,,,,,,,,,,
3,">DNJQM/","אֲדֹנִיקָם ","ʔᵃdōnîqām","Adonikam",,,,,,,,,,,,,,,,
2,">DNJRM/","אֲדֹנִירָם ","ʔᵃdōnîrām","Adoniram",,,,,,,,,,,,,,,,
2,">DR/","אֶדֶר I","ʔeder","majestade",,,,,,,,,,,,,,,,
8,">DR=/","אֲדָר II","ʔᵃdār","Adar (mês)",,,,,,,,,,,,,,,,
1,">DR==/","אַדָּר III","ʔaddār","Addar",,,,,,,,,,,,,,,,
1,">DR===/","אַדָּר IV","ʔaddār","Addar",,,,,,,,,,,,,,,,
3,">DR[","אדר ","ʔDR",,,"ser majestoso",,,,"tornar glorioso",,,,,,,,,,
2,">DRKWN/","אֲדַרְכֹּון ","ʔᵃdarkôn","dracma de ouro (moeda persa)",,,,,,,,,,,,,,,,
2,">DRM/","אֲדֹרָם ","ʔᵃdōrām","Adoniram",,,,,,,,,,,,,,,,
1,">DRMLK/","אַדְרַמֶּלֶךְ I","ʔadrammelex","Adrammelech",,,,,,,,,,,,,,,,
2,">DRMLK=/","אַדְרַמֶּלֶךְ II","ʔadrammelex","Adrammelech",,,,,,,,,,,,,,,,
8,">DR<J/","אֶדְרֶעִי ","ʔedreʕî","Edrei",,,,,,,,,,,,,,,,
12,">DRT/","אַדֶּרֶת ","ʔadderet","esplendor; roupão",,,,,,,,,,,,,,,,
1,">DC[","אדשׁ ","ʔDŠ",,"<incerto>",,,,,,,,,,,,,,,
2,">HB/","אֹהַב I","ʔōhav","demonstração de amor",,,,,,,,,,,,,,,,
2,">HB=/","אַהַב II","ʔahav","dom do amor; encanto",,,,,,,,,,,,,,,,
211,">HB[","אהב ","ʔHV",,"amar, gostar","ser amado","ser amigo, ser amante",,,,,,,,,,,,,
36,">HBH/","אֲהָבָה ","ʔᵃhāvāʰ","amor",,,,,,,,,,,,,,,,
2,">HD/","אֹהַד ","ʔōhad","Ohad",,,,,,,,,,,,,,,,
15,">HH","אֲהָהּ ","ʔᵃhāh","infelizmente",,,,,,,,,,,,,,,,
3,">HW>/","אַהֲוָא ","ʔahᵃwāˀ","Ahava",,,,,,,,,,,,,,,,
9,">HWD/","אֵהוּד ","ʔēhûd","Ehud",,,,,,,,,,,,,,,,
3,">HJ","אֱהִי ","ʔᵉhî","onde",,,,,,,,,,,,,,,,
345,">HL/","אֹהֶל I","ʔōhel","tenda",,,,,,,,,,,,,,,,
1,">HL=/","אֹהֶל II","ʔōhel","Ohel",,,,,,,,,,,,,,,,
4,">HL==/","אָהָל III","ʔāhāl","aloe",,,,,,,,,,,,,,,,
1,">HL=[","אהל II","ʔHL",,,,,,,"ser brilhante",,,,,,,,,,
3,">HL[","אהל I","ʔHL",,"armar uma barraca",,"armar uma barraca",,,,,,,,,,,,,
5,">HLH/","אָהֳלָה ","ʔāhᵒlāʰ","Oholah",,,,,,,,,,,,,,,,
5,">HLJ>B/","אָהֳלִיאָב ","ʔāhᵒlîʔāv","Oholiab",,,,,,,,,,,,,,,,
6,">HLJBH/","אָהֳלִיבָה ","ʔāhᵒlîvāʰ","Oholibah",,,,,,,,,,,,,,,,
7,">HLJBMH/","אָהֳלִיבָמָה I","ʔāhᵒlîvāmāʰ","Oholibamah",,,,,,,,,,,,,,,,
1,">HLJBMH=/","אָהֳלִיבָמָה II","ʔāhᵒlîvāmāʰ","Oholibamah",,,,,,,,,,,,,,,,
347,">HRN/","אַהֲרֹן ","ʔahᵃrōn","Arão",,,,,,,,,,,,,,,,
320,">W","אֹו ","ʔô","ou, ou mesmo",,,,,,,,,,,,,,,,
1,">W>L/","אוּאֵל ","ʔûʔēl","Uel",,,,,,,,,,,,,,,,
16,">WB/","אֹוב I","ʔôv","espírito dos mortos; necromancia",,,,,,,,,,,,,,,,
1,">WB=/","אֹוב II","ʔôv","saco de água",,,,,,,,,,,,,,,,
1,">WBJL/","אֹובִיל ","ʔôvîl","Obil",,,,,,,,,,,,,,,,
3,">WD/","אוּד ","ʔûd","firebrand",,,,,,,,,,,,,,,,
11,">WDWT/","אֹודֹות ","ʔôdôt","porque (conj); por causa de (preparação)",,,,,,,,,,,,,,,,
7,">WH/","אַוָּה ","ʔawwāʰ","desejo",,,,,,,,,,,,,,,,
27,">WH[","אוה ","ʔWH",,,,"desejar",,"desejar",,,,,,,,,,,
1,">WZJ/","אוּזַי ","ʔûzay","Uzai",,,,,,,,,,,,,,,,
3,">WZL/","אוּזָל ","ʔûzāl","Uzal",,,,,,,,,,,,,,,,
24,">WJ","אֹוי ","ʔôy","ai",,,,,,,,,,,,,,,,
2,">WJ/","אֱוִי ","ʔᵉwî","Evi",,,,,,,,,,,,,,,,
1,">WJH","אֹויָה ","ʔôyāʰ","ai",,,,,,,,,,,,,,,,
26,">WJL/","אֱוִיל ","ʔᵉwîl","tolo (adj); tolo, simplório (n)",,,,,,,,,,,,,,,,
2,">WJL_MRDK/","אֱוִיל מְרֹדַךְ ","ʔᵉwîl mᵊrōdax","Evil-Merodach",,,,,,,,,,,,,,,,
1,">WL/","אוּל ","ʔûl","corpo, barriga",,,,,,,,,,,,,,,,
45,">WLJ","אוּלַי ","ʔûlay","talvez",,,,,,,,,,,,,,,,
1,">WLJ/","אֱוִלִי I","ʔᵉwilî","tolo",,,,,,,,,,,,,,,,
2,">WLJ=/","אוּלַי II","ʔûlay","Ulai",,,,,,,,,,,,,,,,
19,">WLM","אוּלָם ","ʔûlām","por outro lado, no entanto",,,,,,,,,,,,,,,,
4,">WLM/","אוּלָם ","ʔûlām","Ulam",,,,,,,,,,,,,,,,
25,">WLT/","אִוֶּלֶת ","ʔiwwelet","tolice",,,,,,,,,,,,,,,,
3,">WMR/","אֹומָר ","ʔômār","Omar",,,,,,,,,,,,,,,,
11,">WN/","אֹון I","ʔôn","poder, força, riqueza",,,,,,,,,,,,,,,,
78,">WN=/","אָוֶן II","ʔāwen","maldade, iniqüidade",,,,,,,,,,,,,,,,
1,">WN===/","אֹון IV","ʔôn","Em",,,,,,,,,,,,,,,,
1,">WN====/","אָוֶן V","ʔāwen","Em",,,,,,,,,,,,,,,,
5,">WNW/","אֹונֹו ","ʔônô","Ono",,,,,,,,,,,,,,,,
4,">WNM/","אֹונָם ","ʔônām","Onam",,,,,,,,,,,,,,,,
8,">WNN/","אֹונָן ","ʔônān","Onan",,,,,,,,,,,,,,,,
2,">WPZ/","אוּפָז ","ʔûfāz","Uphaz",,,,,,,,,,,,,,,,
12,">WPJR/","אֹופִיר I","ʔôfîr","Ophir",,,,,,,,,,,,,,,,
1,">WPJR=/","אֹופִיר II","ʔôfîr","Ophir",,,,,,,,,,,,,,,,
35,">WPN/","אֹופַן ","ʔôfan","roda",,,,,,,,,,,,,,,,
10,">WY[","אוץ ","ʔWṢ",,"incitar, ter pressa",,,,,"incitar",,,,,,,,,,
79,">WYR/","אֹוצָר ","ʔôṣār","suprimento, armazém, tesouro",,,,,,,,,,,,,,,,
115,">WR/","אֹור I","ʔôr","luz",,,,,,,,,,,,,,,,
6,">WR=/","אוּר II","ʔûr","brilhar; fogo; leste",,,,,,,,,,,,,,,,
7,">WR==/","אוּר III","ʔûr","(dispositivo oráculo)",,,,,,,,,,,,,,,,
4,">WR===/","אוּר IV","ʔûr","Ur",,,,,,,,,,,,,,,,
1,">WR====/","אוּר V","ʔûr","Ur",,,,,,,,,,,,,,,,
49,">WR[","אור ","ʔWR",,"ser luz, tornar-se luz","ser, tornar-se luz",,,,"brilhar",,,,,,,,,,
2,">WRH/","אֹורָה ","ʔôrāʰ","luz; alegria",,,,,,,,,,,,,,,,
1,">WRWT/","אֲוֵרֹות ","ʔᵃwērôt","estábulo, estábulo",,,,,,,,,,,,,,,,
7,">WRJ/","אוּרִי ","ʔûrî","Uri",,,,,,,,,,,,,,,,
4,">WRJ>L/","אוּרִיאֵל ","ʔûrîʔēl","Uriel",,,,,,,,,,,,,,,,
36,">WRJH/","אוּרִיָּה ","ʔûriyyāʰ","Uriah",,,,,,,,,,,,,,,,
3,">WRJHW/","אוּרִיָּהוּ ","ʔûriyyāhû","Uriah",,,,,,,,,,,,,,,,
79,">WT/","אֹות ","ʔôt","sinal",,,,,,,,,,,,,,,,
4,">WT[","אות ","ʔWT",,,"concordar",,,,,,,,,,,,,,
141,">Z","אָז ","ʔāz","então; antigamente, desde",,,,,,,,,,,,,,,,
1,">ZBJ/","אֶזְבָּי ","ʔezbāʸ","Ezbai",,,,,,,,,,,,,,,,
10,">ZWB/","אֵזֹוב ","ʔēzôv","hyssop",,,,,,,,,,,,,,,,
14,">ZWR/","אֵזֹור ","ʔēzôr","cintura, tanga, tanga",,,,,,,,,,,,,,,,
3,">ZJ","אֲזַי ","ʔᵃzay","então",,,,,,,,,,,,,,,,
7,">ZKRH/","אַזְכָּרָה ","ʔazkārāʰ","parte da oferta de refeições",,,,,,,,,,,,,,,,
1,">ZL/","אֶזֶל ","ʔezel","(incerto)",,,,,,,,,,,,,,,,
4,">ZL[","אזל ","ʔZL",,"ir embora",,,,,,,,,,,,,,,
187,">ZN/","אֹזֶן I","ʔōzen","orelha",,,,,,,,,,,,,,,,
1,">ZN=/","אָזֵן II","ʔāzēn","ferramenta",,,,,,,,,,,,,,,,
1,">ZN=[","אזן II","ʔZN",,,,"pesar",,,,,,,,,,,,,
41,">ZN[","אזן I","ʔZN",,,,,,,"ouvir; para ouvir; obedecer",,,,,,,,,,
1,">ZN_C>RH/","אֻזֵּן שֶׁאֱרָה ","ʔuzzēn šeˀᵉrāʰ","Uzzen Sheerah",,,,,,,,,,,,,,,,
1,">ZNWT_TBWR/","אַזְנֹות תָּבֹור ","ʔaznôt tāvôr","Aznoth Tabor",,,,,,,,,,,,,,,,
1,">ZNJ/","אָזְנִי I","ʔāznî","Oznite",,,,,,,,,,,,,,,,
1,">ZNJ=/","אָזְנִי II","ʔāznî","Ozni",,,,,,,,,,,,,,,,
1,">ZNJH/","אֲזַנְיָה ","ʔᵃzanyāʰ","Azaniah",,,,,,,,,,,,,,,,
2,">ZQJM/","אֲזִקִּים ","ʔᵃziqqîm","algemas",,,,,,,,,,,,,,,,
16,">ZR[","אזר ","ʔZR",,"pôr, cingir","estar cingido (com)","cingir alguém",,"cingir-se",,,,,,,,,,,
17,">ZRX/","אֶזְרָח ","ʔezrāḥ","nativo, cidadão",,,,,,,,,,,,,,,,
3,">ZRXJ/","אֶזְרָחִי ","ʔezrāḥî","Ezrahite",,,,,,,,,,,,,,,,
2,">ZR</","אֶזְרֹעַ ","ʔezrōₐʕ","braço",,,,,,,,,,,,,,,,
3,">X","אָח ","ʔāḥ","infelizmente",,,,,,,,,,,,,,,,
629,">X/","אָח I","ʔāḥ","irmão",,,,,,,,,,,,,,,,
1,">X=/","אֹחַ II","ʔōₐḥ","coruja águia",,,,,,,,,,,,,,,,
3,">X==/","אָח III","ʔāḥ","braseiro",,,,,,,,,,,,,,,,
93,">X>B/","אַחְאָב ","ʔaḥʔāv","Acabe",,,,,,,,,,,,,,,,
1,">XBN/","אַחְבָּן ","ʔaḥbān","Ahban",,,,,,,,,,,,,,,,
970,">XD/","אֶחָד ","ʔeḥād","um, uma vez",,,,,,,,,,,,,,,,
1,">XD[","אחד ","ʔḤD",,,,,,"dar a volta?",,,,,,,,,,,
3,">XW/","אָחוּ ","ʔāḥû","palheta",,,,,,,,,,,,,,,,
1,">XWD/","אֵחוּד ","ʔēḥûd","Ehud",,,,,,,,,,,,,,,,
1,">XWH/","אַחֲוָה I","ʔaḥᵃwāʰ","irmandade",,,,,,,,,,,,,,,,
1,">XWH=/","אַחְוָה II","ʔaḥwāʰ","declaração",,,,,,,,,,,,,,,,
1,">XWX/","אֲחֹוחַ ","ʔᵃḥôₐḥ","Ahoah",,,,,,,,,,,,,,,,
5,">XWXJ/","אֲחֹוחִי ","ʔᵃḥôḥî","Ahohite",,,,,,,,,,,,,,,,
1,">XWMJ/","אֲחוּמַי ","ʔᵃḥûmay","Ahumai",,,,,,,,,,,,,,,,
41,">XWR/","אָחֹור ","ʔāḥôr","para trás; atrás (adv)",,,,,,,,,,,,,,,,
114,">XWT/","אָחֹות ","ʔāḥôt","irmã",,,,,,,,,,,,,,,,
1,">XZ/","אָחֻז I","ʔāḥuz","holding",,,,,,,,,,,,,,,,
41,">XZ=/","אָחָז II","ʔāḥāz","Ahaz",,,,,,,,,,,,,,,,
3,">XZ=[","אחז II","ʔḤZ",,"cobrir",,"cobrir",,,,,,,,,,,,,
65,">XZ[","אחז I","ʔḤZ",,"agarrar, segurar firme","ser apreendido, ser detido",,,,,"ser apreendido",,,,,,,,,
66,">XZH/","אֲחֻזָּה ","ʔᵃḥuzzāʰ","propriedade (terra)",,,,,,,,,,,,,,,,
1,">XZJ/","אַחְזַי ","ʔaḥzay","Ahzai",,,,,,,,,,,,,,,,
7,">XZJH/","אֲחַזְיָה ","ʔᵃḥazyāʰ","Ahaziah",,,,,,,,,,,,,,,,
30,">XZJHW/","אֲחַזְיָהוּ ","ʔᵃḥazyāhû","Ahaziah",,,,,,,,,,,,,,,,
1,">XZM/","אֲחֻזָּם ","ʔᵃḥuzzām","Ahuzzam",,,,,,,,,,,,,,,,
1,">XZT/","אֲחֻזַּת ","ʔᵃḥuzzat","Ahuzzath",,,,,,,,,,,,,,,,
